Site,Percent,Flow,Units
Bejucal,99,0.684773,m3/s
Bejucal,95,0.829914,m3/s
Bejucal,90,1.091065,m3/s
Bejucal,85,1.256429,m3/s
Bejucal,80,1.397444,m3/s
Bejucal,75,1.504828,m3/s
Bejucal,70,1.644876,m3/s
Bejucal,60,1.936039,m3/s
Bejucal,50,2.333938,m3/s
Bejucal,40,3.421645,m3/s
Bejucal,30,3.583605,m3/s
Bejucal,20,4.464894,m3/s
Los_Dajaos,99,0.4717,m3/s
Los_Dajaos,95,0.6689,m3/s
Los_Dajaos,90,0.9259,m3/s
Los_Dajaos,85,1.0714,m3/s
Los_Dajaos,80,1.1772,m3/s
Los_Dajaos,75,1.2361,m3/s
Los_Dajaos,70,1.3308,m3/s
Los_Dajaos,60,1.5313,m3/s
Los_Dajaos,50,1.7909,m3/s
Los_Dajaos,40,2.4785,m3/s
Los_Dajaos,30,2.6058,m3/s
Los_Dajaos,20,3.1458,m3/s
Manabao,99,0.684773,m3/s
Manabao,95,0.829914,m3/s
Manabao,90,1.091065,m3/s
Manabao,85,1.256429,m3/s
Manabao,80,1.397444,m3/s
Manabao,75,1.504828,m3/s
Manabao,70,1.644876,m3/s
Manabao,60,1.936039,m3/s
Manabao,50,2.333938,m3/s
Manabao,40,3.421645,m3/s
Manabao,30,3.583605,m3/s
Manabao,20,4.464894,m3/s
Salto_de_Jimenoa,99,1.4162,m3/s
Salto_de_Jimenoa,95,1.7945,m3/s
Salto_de_Jimenoa,90,2.2884,m3/s
Salto_de_Jimenoa,85,2.6348,m3/s
Salto_de_Jimenoa,80,2.9297,m3/s
Salto_de_Jimenoa,75,3.1568,m3/s
Salto_de_Jimenoa,70,3.479,m3/s
Salto_de_Jimenoa,60,4.1853,m3/s
Salto_de_Jimenoa,50,5.023,m3/s
Salto_de_Jimenoa,40,6.6069,m3/s
Salto_de_Jimenoa,30,7.4021,m3/s
Salto_de_Jimenoa,20,9.208,m3/s
